"project_funding","appropriation_detail","grantee_name","project_name","project_type","app_commuting_zone","project_description","ktid","cities"
1000000,"Distressed Area Recompete Pilot Program","MassHire Hampden County Workforce Board","Springfield - Holyoke Recompete Plan","SDG","Hampden County, MA","The Springfield-Holyoke Recompete Plan, led by the MassHire Hampden County Workforce Board, requests approximately $20 million in funding to connect historically marginalized communities in Springfield and Holyoke to good jobs. Residents of the targeted neighborhoods have faced persistent inequity, structural racism and disinvestment, and the area's high cost of living keeps families from getting ahead. Funding will support four holistic investments that address employment barriers through a shared services hub, workforce development and training, and the expansion of employer commitments to worker-friendly jobs. A coalition of anchor institutions have come together to tackle structural barriers to employment and create employer-led access to career pathways.","Health & Medicine","Hampden County, MA; Longmeadow, MA; West Warren, MA; North Granby, CT; Holyoke, MA; Wilbraham, MA; Chicopee, MA; Westfield, MA; Blandford, MA; Monson Center, MA; Springfield, MA; Agawam Town, MA; Russell, MA; Chester, MA; Palmer Town, MA; West Springfield Town, MA; Easthampton Town, MA; Holland, MA; Ware, MA; Huntington, MA"
1000000,"Distressed Area Recompete Pilot Program","St. Claire Medical Center","St. Claire HealthCare Recompete Plan","SDG","Mount Sterling, KY","The St. Claire HealthCare Recompete Plan, led by the St. Claire Medical Center, requests approximately $10 million to help individuals with substance use disorders find sustainable and meaningful employment in five counties of northeastern Kentucky. Substance abuse has become a primary barrier to economic participation in eastern Kentucky. The Finalist proposes using Recompete funding to coordinate substance abuse support with employer-based training, including offering the Life Learning Center curriculum to residents in eastern Kentucky and investing in nursing workforce training, peer support programs, and scholarships in partnership with a community college. The evidence-based approach has shown success with limited recidivism and expects to improve health, education, and employment outcomes of residents with substance use disorders.","Other Information Technology","Rowan County, KY; Lakeview Heights, KY; Farmers, KY; Morehead, KY"
1000000,"Distressed Area Recompete Pilot Program","City of Chattanooga","South Chattanooga/East Lake Economic Revitalization Recompete Plan","SDG","Chattanooga, TN","The South Chattanooga/East Lake Economic Revitalization Plan, led by the city of Chattanooga, requests approximately $20 million in funding to connect residents of the persistently distressed neighborhoods of Alton Park, Clifton Hills, East Lake, and Oak Grove to good tech-related jobs. Residents in these neighborhoods are often unable to access good jobs, resulting in persistent poverty. The coalition's proposed investment will address these challenges through expanded IT and tech-related apprenticeships, micro childcare centers, transportation services, and community case management and talent connection. The plan builds on the city's efforts, like One Chattanooga and the Good Jobs Great Cities Academy, to channel economic growth to distressed neighborhoods.","Other Information Technology","Hamilton County, TN; Lookout Mountain, TN; Whiteside, TN; Lakesite, TN; Red Bank, TN; Lookout Mountain, GA; East Ridge, TN; Ooltewah, TN; Mowbray Mountain, TN; Lone Oak, TN; Flat Top Mountain, TN; Wildwood, GA; Chattanooga, TN; Collegedale, TN; Apison, TN; Falling Water, TN; Sale Creek, TN; Middle Valley, TN; Fairmount, TN; Ridgeside, TN; Signal Mountain, TN; Walden, TN; Rossville, GA; Lakeview, GA; Harrison, TN; Soddy-Daisy, TN"
1000000,"Distressed Area Recompete Pilot Program","Mississippi Department of Employment Security (MDES)","Accelerate Mississippi Recompete Strategy (SDG)","SDG","Jackson-Raymond, MS","Accelerate Mississippi Recompete Strategy, led by the Mississippi Department of Employment Security (MDES), will organize a strategy to address regional PAEG; identify and evaluate barriers to labor force participation and occupational skills attainment in key regions and industry sectors; and develop strategic implementation planning.","Advanced Manufacturing & Heavy Industry","Hinds County, MS; Jackson, MS; Raymond, MS; Learned, MS; Bolton, MS; Terry, MS; Clinton, MS; Ridgeland, MS; Utica, MS; Byram, MS; Flowood, MS; Richland, MS; Edwards, MS"
1000000,"Distressed Area Recompete Pilot Program","City of Chester","Chester Recompete Program","SDG","Philadelphia, PA","Chester Recompete Program, led by the city of Chester, Pennsylvania, will use the planning grant during a critical moment of the city's transition through bankruptcy and position the local economy for new growth. Planned activities will support a Recompete Plan Coordinator in conducting a work assessment study, a capacity study, and in revising local policies to improve business conditions.","Health & Medicine","Chester County, PA; Dilworthtown, PA; Unionville, PA; Paoli, PA; Christiana, PA; Atglen, PA; Kennett Square, PA; Spring City, PA; Hamorton, PA; Chesterbrook, PA; Kenilworth, PA; Pughtown, PA; West Chester, PA; Westwood, PA; Kimberton, PA; Toughkenamon, PA; Malvern, PA; Avondale, PA; Royersford, PA; Berwyn, PA; Chadds Ford, PA; Nottingham, PA; Wayne, PA; Lincoln University, PA; Oxford, PA; Coatesville, PA; Frazer, PA; North Star, DE; Cochranville, PA; Glenmoore, PA; Hayti, PA; Thorndale, PA; Mont Clare, PA; Pottstown, PA; Downingtown, PA; Phoenixville, PA; South Coatesville, PA; West Grove, PA; Exton, PA; Eagle, PA; Honey Brook, PA; Hockessin, DE; Stowe, PA; King Prussia, PA; Pomeroy, PA; Sadsburyville, PA; Marshallton, PA; Eagleview, PA; Parkesburg, PA; Caln, PA; Modena, PA; Devon, PA; South Pottstown, PA; Cheyney University, PA; Elverson, PA; Lionville, PA; Sanatoga, PA"
1000000,"Distressed Area Recompete Pilot Program","Florida Agricultural and Mechanical University (FAMU)","FAMU Gadsden County Opportunity for All (SDG)","SDG","Tallahassee, FL","FAMU Gadsden County Opportunity for All, led by Florida Agricultural and Mechanical University (FAMU), will determine the key transportation, childcare, and agricultural strategies for the region's small, rural farms to increase productivity and job opportunities.","AgTech, Bioproducts, & Food Production","Gadsden County, FL; Midway, FL; Havana, FL; Gretna, FL; Quincy, FL; Fort Braden, FL; Greensboro, FL; Chattahoochee, FL"
1000000,"Distressed Area Recompete Pilot Program","Greater Grays Harbor","Recompete Washington State Coastal Counties Initiative (SDG)","SDG","Montesano, WA","Recompete Washington State Coastal Counties Initiative, led by Greater Grays Harbor, Inc., will develop a comprehensive and inclusive 10-step process to address the prime-age employment gap in Grays Harbor County and Pacific County in Washington state. Funding will also support hiring a Recompete Plan Coordinator and necessary staff.","AgTech, Bioproducts, & Food Production","Grays Harbor County, WA; Westport, WA; Moclips, WA; Oakville, WA; Cohassett Beach, WA; Oyehut, WA; Taholah, WA; Hogans Corner, WA; Santiago, WA; Cosmopolis, WA; McCleary, WA; Central Park, WA; Ocean City, WA; Ocosta, WA; Aberdeen, WA; Elma, WA; Hoquiam, WA; Aberdeen Gardens, WA; Copalis Beach, WA; Humptulips, WA; Malone, WA; Queets, WA; Qui-- Village, WA; Brady, WA; Grayland, WA; Neilton, WA; Pacific Beach, WA; Amanda Park, WA; Porter, WA; Montesano, WA; Markham, WA; Ocean Shores, WA; Satsop, WA"
1000000,"Distressed Area Recompete Pilot Program","Stark Economic Development Board","Reconnecting Canton Recompete Plan","SDG","Canton, OH","The Reconnecting Canton Recompete Plan, led by the Stark Economic Development Board, requests approximately $20 million to invest in workforce development strategies, comprehensive wraparound and transportation services, and small business growth. A history of redlining, urban renewal, and industry decline have led to present conditions in southeast Canton where neighborhoods experience high levels of poverty and low educational attainment. The Finalist is working to address these conditions by building out the city's proven job navigator model, expanding community resource hubs, and removing transportation barriers. The Finalist is drawing upon a coalition of committed partners to achieve its vision, including the City of Canton, Canton for All People, Ohio Means Jobs, Strengthening Stark Career Connect, Stark Area Regional Transit Authority, and the Greater Stark County Urban League.","Advanced Manufacturing & Heavy Industry; Health & Medicine","Stark County, OH; Harrisburg, OH; Limaville, OH; Hills Dales, OH; Waynesburg, OH; Sandyville, OH; Perry Heights, OH; Canton, OH; Clinton, OH; Meyers Lake, OH; North Lawrence, OH; North Canton, OH; East Sparta, OH; Alliance, OH; Brewster, OH; Massillon, OH; Greentown, OH; Wilkshire Hills, OH; Middlebranch, OH; Pekin, OH; East Alliance, OH; Reedurban, OH; North Industry, OH; Beach City, OH; Canal Fulton, OH; Hartville, OH; Wilmot, OH; Bolivar, OH; Green, OH; New Franklin, OH; East Canton, OH; Uniontown, OH; Bolton, OH; Navarre, OH; Minerva, OH; Magnolia, OH; Robertsville, OH; Marlboro, OH; Louisville, OH; Richville, OH"
1000000,"Distressed Area Recompete Pilot Program","City of Springfield","Springfield Economic Empowerment Project (SDG)","SDG","Springfield, IL","Springfield Economic Empowerment Project, led by the City of Springfield, will serve the 12 census tracts with the most acute prime-age employment gap within the Springfield, Illinois metro area. Activities include hiring a Recompete Plan Coordinator and Economic Development Officer and supporting strategic implementation planning.","Transportation, Logistics, & Construction; Health & Medicine","Sangamon County, IL; Ashland, IL; Berlin, IL; Cantrall, IL; Dawson, IL; Clear Lake, IL; Loami, IL; Pleasant Plains, IL; Southern View, IL; New Berlin, IL; Illiopolis, IL; Spaulding, IL; Jerome, IL; Buffalo, IL; Curran, IL; Leland Grove, IL; Riverton, IL; Thayer, IL; Williamsville, IL; Virden, IL; Grandview, IL; Rochester, IL; Divernon, IL; Pawnee, IL; Mechanicsburg, IL; Auburn, IL; Sherman, IL; Springfield, IL; Chatham, IL"
1000000,"Distressed Area Recompete Pilot Program","United Way of the Chattahoochee Valley","UWCV: Addressing Economic Distress Recompete Plan","SDG","Columbus, GA","Addressing Economic Distress Recompete Plan, led by the United Way of the Chattahoochee Valley, requests approximately $20 million to prepare residents for jobs in advanced manufacturing and construction and to combat barriers to employment through targeted investments in childcare and job readiness. The region has faced job and population loss due to the 2015 Fort Moore force reduction, as well as persistently high levels of poverty, particularly among Black communities. With a focus on eight distressed counties in the Columbus, Georgia-Alabama metropolitan statistical area, the Finalist will partner with a well-established network of community colleges, trade schools, employers, and other stakeholders to scale proven training and wraparound models and to innovate to address the regional childcare crisis.","Advanced Manufacturing & Heavy Industry; Transportation, Logistics, & Construction","Chattahoochee County, GA; Columbus, GA; Box Springs, GA; Cusseta-Chattahoochee County, GA"
1000000,"Distressed Area Recompete Pilot Program","Kodiak Area Native Association","Where did our people go? - Alutiiq: Natmen Suupet agellriit? (SDG)","SDG","Kodiak, AK","Natmen Suupet agellriit?, led by Kodiak Area Native Association, requests Strategy Development funding to research factors leading to five Alaskan tribal areas' population loss, develop intervention strategies, create new jobs, train workers to fill new and existing jobs, and identify strategies to create economic opportunities. The knowledge gained from this research will enable tribal members to get jobs and return home to their village communities.","Transportation, Construction, & Logistics; AgTech, Bioproducts, & Food Production","Kodiak Island Borough, AK; Akhiok, AK; Port Lions, AK; Old Harbor, AK; Kodiak, AK; Larsen Bay, AK; Ouzinkie, AK; Aleneva, AK; Karluk, AK; Womens Bay, AK; Kodiak Station, AK; Mill Bay, AK; Chiniak, AK"
1000000,"Distressed Area Recompete Pilot Program","The Alliance for Rural Impact","Working for Southeast Arkansas (SDG)","SDG","Forrest City, AR","Working for Southeast Arkansas, led by The Alliance for Rural Impact, will develop a strategy to reverse the impacts of persistent poverty, out-migration, and economic distress in the Mississippi Delta region. Activities include community outreach and research in partnership with Rural Local Initiatives Support Corporation and other local partners.","Tourism, Arts, & Other Recreation","Arkansas County, AR; Almyra, AR; DeWitt, AR; Stuttgart, AR; Humphrey, AR; St. Charles, AR; Gillett, AR"
36000000,"Distressed Area Recompete Pilot Program","Wind River Development Fund","Wind River Indigenous-based Economic Recompete Plan","IMP","Lander, WY","The Wind River Indigenous-based Economy Recompete Plan, led by the Wind River Development Fund, will receive approximately $36 million to catalyze an indigenous-led eco-tourism economy on the Wind River Reservation and in Fremont County, Wyoming. Persistent poverty, restricted tribal assets, and the community's remote geography have impeded business investment and the creation of living wage jobs for residents. To tackle these barriers, the coalition proposes holistic investments in ecotourism, cultural preservation, workforce development, indigenous agriculture, health care expansion, and land sovereignty. These strategies aim to create new growth opportunities by growing the indigenous-led economy and accessing the robust tourism industry in nearby National Parks.","Tourism, Arts, & Other Recreation","Fremont County, WY; Hudson, WY; Pavillion, WY; Crowheart, WY; Riverton, WY; Shoshoni, WY; Boulder Flats, WY; Dubois, WY; Atlantic City, WY; Jeffrey City, WY; Arapahoe, WY; Ethete, WY; Johnstown, WY; Fort Washakie, WY; Lander, WY"
35000000,"Distressed Area Recompete Pilot Program","Clallam County","North Olympic Peninsula Recompete Plan","IMP","Port Angeles, WA","The North Olympic Peninsula Recompete Plan, led by Clallam County, will receive approximately $35 million to revitalize the natural resources industries in the remote region of Washington State's North Olympic Peninsula, an area which includes five Tribal nations. The region has faced a lack of job opportunities since the decline of the logging industry. To drive renewed economic competitiveness and job creation in the sustainable maritime and natural resource sectors, the coalition will enhance supply chain infrastructure, scale innovative forest product manufacturing, and support workers in tribal and distressed communities through various economic development initiatives. EDA funding will be used for cutting-edge manufacturing equipment, a marine transportation fleet, and accessible workforce training. The coalition's Recompete Task Force, made up of Tribal and county governments, local community and technical colleges, and economic development partners, is poised to create and connect residents to good jobs in the natural resources industry.","Transportation, Logistics, & Construction","Clallam County, WA; Jamestown, WA; Clallam Bay, WA; Sekiu, WA; Bell Hill, WA; Forks, WA; Neah Bay, WA; River Road, WA; Sequim, WA; Port Angeles, WA; Blyn, WA; Port Angeles East, WA; Carlsborg, WA"
1000000,"Distressed Area Recompete Pilot Program","Santa Cruz County","Santa Cruz River/Sonoran Corridor (I-19) Recompete Plan","SDG","Tucson, AZ","The Santa Cruz River/Sonoran Corridor (I-19) Recompete Plan, led by Santa Cruz County, requests approximately $50 million to assist its rural communities overcome decades of disinvestment and address new vulnerabilities created by climate change. Recompete funding will invest in a continuum of training and services for job placement and creation, strategies to diversify and strengthen the business ecosystem, and the development of sustainable infrastructure. The plan will leverage approximately $50 million in public, private, and philanthropic funding and builds on regional efforts towards climate resiliency, digital equity, and industry re-investment.","Transportation, Logistics, & Construction","Santa Cruz County, AZ; Kino Springs, AZ; Tumacacori-Carmen, AZ; Elgin, AZ; Patagonia, AZ; Nogales, AZ; Arivaca Junction, AZ; Tubac, AZ; Rio Rico, AZ; Amado, AZ; Beyerville, AZ; Sonoita, AZ"
20000000,"Distressed Area Recompete Pilot Program","City of Birmingham","Reinvest Birmingham","IMP","Birmingham, AL","The Reinvest Birmingham Recompete Plan, led by the City of Birmingham, will receive approximately $20 million to support the persistently distressed neighborhoods of North Birmingham, Northside, Pratt, and Smithfield. Northwest Birmingham has experienced significant challenges caused by a legacy of disinvestment, systemic racism, pollution, and land use decisions. Recompete funding will provide in-demand workforce training to residents in the target neighborhoods through a partnership with Lawson State Community College, a Historically Black College and University (HCBU). The funding also includes support for entrepreneurs facing disparities in training and capital access, and expanding and improving transportation and accessible childcare in the target neighborhoods. The city's partnerships with organizations like the Salvation Army and Lawson State will create paths for residents to the over 5,000 good jobs committed by Birmingham-area employers. This effort will be implemented in tandem with a $50 million Choice Neighborhoods grant funded through the U.S. Department of Housing and Human Development that was recently awarded to redevelop the same neighborhood.","Transportation, Logistics, & Construction; Advanced Manufacturing & Heavy Industry","Jefferson County, AL; Bessemer, AL; Cardiff, AL; Irondale, AL; McDonald Chapel, AL; Helena, AL; Hoover, AL; Leeds, AL; North Johns, AL; Vestavia Hills, AL; Edgewater, AL; Graysville, AL; Hueytown, AL; Lipscomb, AL; Minor, AL; Rock Creek, AL; Trussville, AL; Warrior, AL; Brighton, AL; Sumiton, AL; Pinson, AL; Grayson Valley, AL; Concord, AL; Clay, AL; Mountain Brook, AL; Sylvan Springs, AL; Trafford, AL; Birmingham, AL; County Line, AL; Fairfield, AL; Fultondale, AL; Kimberly, AL; Homewood, AL; Gardendale, AL; Moody, AL; Forestdale, AL; McCalla, AL; Remlap, AL; Adamsville, AL; Brookside, AL; Maytown, AL; Mulga, AL; Tarrant, AL; West Jefferson, AL; Center Point, AL; Argo, AL; Midfield, AL; Mount Olive, AL; Pleasant Grove, AL; Brook Highland, AL; Dunnavant, AL; Morris, AL; Lake View, AL"
1000000,"Distressed Area Recompete Pilot Program","Wind River Development Fund","Wind River Indigenous-based Economy Recompete Plan","SDG","Lander, WY","The Wind River Indigenous-based Economy Recompete Plan, led by the Wind River Development Fund, will receive approximately $36 million to catalyze an indigenous-led eco-tourism economy on the Wind River Reservation and in Fremont County, Wyoming. Persistent poverty, restricted tribal assets, and the community's remote geography have impeded business investment and the creation of living wage jobs for residents. To tackle these barriers, the coalition proposes holistic investments in ecotourism, cultural preservation, workforce development, indigenous agriculture, health care expansion, and land sovereignty. These strategies aim to create new growth opportunities by growing the indigenous-led economy and accessing the robust tourism industry in nearby National Parks.","Water, Mariculture, & Blue Economy; Transportation, Logistics, & Construction","Fremont County, WY; Hudson, WY; Pavillion, WY; Crowheart, WY; Riverton, WY; Shoshoni, WY; Boulder Flats, WY; Dubois, WY; Atlantic City, WY; Jeffrey City, WY; Arapahoe, WY; Ethete, WY; Johnstown, WY; Fort Washakie, WY; Lander, WY"
15000000,"Regional Innovation Engines","The Industrial Commons","NSF Engines: North Carolina Textile Innovation and Sustainability Engine ","IMP","Raleigh, NC","North Carolina Textile Innovation and Sustainability Engine (North Carolina, South Carolina, Tennessee and Virginia), led by The Industrial Commons, aims to advance the nation's capacity for environmentally sustainable textiles by advancing smart textiles and wearable technology, reducing carbon outputs and the number of textiles in landfills, and nurturing the development of new product lines that use circular methods. Centered in the ""textile belt"" of North Carolina, this NSF Engine aims to disrupt and revolutionize the $96 billion textile industry. While other regions of the U.S. have lost textile jobs, this region's textile industry has stabilized. The region boasts the largest concentration of textile workers in the U.S., with over 27,000 workers and an additional 30,000 in adjacent industries, such as waste streams and furniture workers, spanning almost 2,000 companies. This NSF Engine is led by The Industrial Commons, a nonprofit with a strong reputation within the textile sector and other fields for being a hub of regional, rural innovation with deep local, national and sectoral knowledge and relationships.","Advanced Manufacturing & Heavy Industry","Durham County, NC; Carolina Meadows, NC; Morrisville, NC; Cary, NC; Raleigh, NC; Durham, NC; Rougemont, NC; Gorman, NC; Chapel Hill, NC"
1000000,"Regional Innovation Engines","University of Kentucky","NSF Engines Development Award: Advancing carbon centric circular economy technologies for advanced manufacturing solutions","SDG","Lexington, KY","This Regional Innovation Engines Development Award is focused on convening industrial, R&D, community, workforce, investment and entrepreneurship ecosystem stakeholders across the Southeastern Commerce Corridor (SCC) of Kentucky and Tennessee, to design and develop an innovation ecosystem for next-generation manufacturing and supply chain in the region. By 2034 the SCC will be a global leader in next-generation manufacturing and supply chain innovation for the circular economy, supported by an inclusive and diverse workforce. The SCC is the heart of the country's manufacturing and supply chains. Kentucky and Tennessee will have more freight tonnage passing through its borders by 2040 than nearly every other state in the country. It is no coincidence that four of the country's major logistics companies have their hubs in the SCC. Moreover, many of the critical components for priority industries, such as metals and electric vehicle (EV) batteries, will be manufactured in this region. The region comprises high-potential innovation growth centers of Louisville, Lexington, Nashville, Knoxville, and Chattanooga, with premier research universities and a national laboratory leader in next-generation manufacturing research, but also distressed urban communities and a rural region with >50% of its counties qualifying as economically distressed. Led by the University of Kentucky and 12 other Core Partners, including four R1 research universities, three doctoral universities, an R2 HBCU, a leading national laboratory, the SCC's community college systems, its premier tech-based economic development non-profits, leading industry participants, and the lead organization's state government, the GAME Change Engine is supported by 53 total other collaborating partners in the SCC, including 23 industry partners. Utilizing expert-led technical thrusts related to next-generation manufacturing and supply chain, the Development Award aims to establish an innovation ecosystem across the SCC. It will allow the project team to engage the GAME Change industrial and community partners in a comprehensive process - leveraging Major Gap Validation Workshops - designed to identify, validate, consolidate, and prioritize a more focused set of use-inspired technology opportunities and gaps. The Engine will then leverage GAME Change Summits located in underserved communities across the region to ensure community-based representation and input from diverse stakeholders in producing a GAME Plan for the subsequent phases of the Engine. A use-inspired research Playbook will establish research scopes to prove concepts. Technology-Scale Centers equipped with venture studios located in underserved communities across the region will be designed to serve as community-engaged venues for testing, scaling, startup development, and workforce training related to resulting innovations.","Advanced Manufacturing & Heavy Industry","Fayette County, KY; Lexington-Fayette, KY; Nicholasville, KY"
1000000,"Regional Innovation Engines","University of Minnesota","NSF Engines Development Award: Building a sustainable plastics innovation ecosystem in the Midwest","SDG","Minneapolis, MN","This Regional Innovation Engines Development Award seeks to create an ecosystem to facilitate the transition to a sustainable, new circular plastics economy. Led by University of Minnesota-Twin Cities, it is comprised of use-inspired research, translation of solutions to adoption, workforce expansion, and a culture of inclusivity. The project team is comprised of 11 academic institutions, 4 non-profit/community organizations, 5 government facilities, 16 industry partners, and 6 economic development groups, with the University of Minnesota serving as the lead institution. The region served is urban/suburban areas around Chicago and Minneapolis-St. Paul and parts of Indiana and Wisconsin. The project will build the foundations for an innovation ecosystem that will: a) create a hub for identifying and solving use-inspired research problems, b) fill critical gaps in the innovation ecosystem and c) enable equity-centered growth across the ecosystem. Society is at a crossroads with how it makes, uses, and discards plastics, and the current course is demonstrably unsustainable. The ubiquitous use of plastics, coupled with low recovery rates, depletes resources and leaks plastic waste into the environment, harming environmental and human health and disproportionately impacting economically and socially disadvantaged groups. Modern societies need plastic but can no longer afford the unsustainable and damaging consequences of the current plastics ecosystem. The concentration of relevant expertise and resources in the Midwest make it ideally suited to recreate and re-imagine the plastics industry as a circular economy.","Advanced Manufacturing & Heavy Industry","Hennepin County, MN; Mound, MN; Medicine Lake, MN; Lauderdale, MN; Woodland, MN; Champlin, MN; Long Lake, MN; Loretto, MN; Minnetonka Beach, MN; St. Anthony, MN; Spring Park, MN; Deephaven, MN; Columbia Heights, MN; Medina, MN; Fridley, MN; Tonka Bay, MN; Burnsville, MN; Brooklyn Park, MN; Greenwood, MN; Otsego, MN; Orono, MN; St. Bonifacius, MN; Plymouth, MN; Corcoran, MN; Osseo, MN; Minnetrista, MN; Rockford, MN; Chanhassen, MN; Anoka, MN; Edina, MN; Excelsior, MN; Golden Valley, MN; Hanover, MN; Hopkins, MN; Maple Grove, MN; Maple Plain, MN; Minnetonka, MN; Richfield, MN; Robbinsdale, MN; Rogers, MN; St. Louis Park, MN; St. Paul, MN; St. Michael, MN; Elk River, MN; Independence, MN; Crystal, MN; Greenfield, MN; Delano, MN; New Hope, MN; Bloomington, MN; Coon Rapids, MN; New Brighton, MN; Victoria, MN; Ramsey, MN; Shakopee, MN; Shorewood, MN; Eagan, MN; Eden Prairie, MN; Savage, MN; Brooklyn Center, MN; Roseville, MN; Mendota Heights, MN; Dayton, MN; Minneapolis, MN; Wayzata, MN"
999998,"Regional Innovation Engines","Kentucky Science and Technology Corporation","NSF Engines Development Award: Advancing manufacturing and building construction technologies","SDG","Lexington, KY","This Regional Innovation Engines Development Award is focused on advancing additive manufacturing (AM) in a region that is experiencing transformation from ""old manufacturing"" to a more modern base. It develops transformative developments in AM to enable local fabrication of industrial components closer to where they are needed, thereby reducing the transport and associated carbon impact that would have otherwise been required and reducing dependence on uncertain external sources. The Region of Service includes the states of Kentucky, Ohio, and West Virginia. This effort is being led by Kentucky Science and Technology Corporation (KSTC), a non-profit, with approximately 26 partners (6 core partners, 5 additional funded, and 15 unfunded). These partners include three Carnegie-""R1"" rated universities, 3 Historically Black Colleges and Universities, a community college system, 8 major corporations, two trade organizations, and several smaller organizations including an investment fund. Kentucky, West Virginia, and Ohio are all states that have been under-invested during the venture backed technology boom of the last 50 years. Resource investments include engaging local government and citizens, secondary and post-secondary educational institutions, and local economic development organizations in roundtables to bring the world class research to new stakeholders. The ultimate goal is bridging AM use-inspired research, workforce education, and ecosystem activities to address specific economic development and DEIA priorities tailored to each community?s local needs. The vision is to accelerate development of printing technologies to usher in a new age of Moore?s law for Additive Manufacturing. To realize this vision responsibly, the project team has a correlated goal to build and demonstrate the world?s most sustainable circular metal printing ecosystem, including recycling, reduced energy usage, and holistic design practices. The goal is driven by strong desire to push AM beyond its current linear growth trajectory. This will lead to new questions and knowledge in key research areas of laser processing, data science, and materials development. The project will generate a use-inspired research roadmap to leap-frog current state of the art AM for high consequence applications for sustainable supply chains. The roadmap is informed by demand-pull from lead system integrator Original Equipment Manufacturers (OEMs) as power users and customers for AM technology, linking core activities advancing the science of AM qualification as the backbone for translations to practice.","Advanced Manufacturing & Heavy Industry","Fayette County, KY; Lexington-Fayette, KY; Nicholasville, KY"
999997,"Regional Innovation Engines","Mississippi State University Advanced Development Research Corporation","NSF Engines Development Award: Advancing autonomous technologies for advanced manufacturing","SDG","Columbus, MS","This Regional Innovation Engines Development Award is focused on catalyzing efforts among industrial, academic, economic development, state, and community organizations to accelerate the integration of intelligent technologies throughout north Mississippi's diverse manufacturing sector. The project team, nicknamed Engine 662, is a coalition of the region's research universities, community colleges, and industry partners, all focused on improving efficiency and productivity, developing new technologies, upskilling the workforce, fueling startups, attracting new industries, and helping existing industries grow. This initiative represents a significant opportunity to improve economic outcomes throughout the region. At the project's core are stakeholders who understand all parties' inherent connections and roles in driving a vibrant economy for all Mississippians. North Mississippi relies heavily on manufacturing across multiple sectors and is poised for rapid growth. Engine 662 supports heightened coordination among partners to leverage resources and innovate solutions to drive and sustain growth. Engine 662 will promote an advanced manufacturing ecosystem, positioning Mississippi for a more significant share of the technological revolution and enhancing U.S. industrial competitiveness. To actualize use-inspired research in advanced manufacturing, Engine 662 will pilot New Product Blueprinting (NPB) and Competitiveness Reviews (CR) to identify gaps and commonalities to define initial research thrusts. Engine 662 will address gaps in technologies, products, workforce training, ecosystem coordination, and translation of new technologies to commercialization. Based on data from the NPB and CR, the project will prioritize resources and connect problems with teams trained to develop solutions rapidly. As barriers to employment are uncovered, the project will work with community colleges, K-12 schools, and regional economic development associations to replicate what works or design new solutions. Central to Engine 662's success is understanding the challenges shared by industries (use-inspired R&D), leveraging stakeholders' capacities, and enhancing regional coordination (ecosystem development). Engine 662 provides a platform and vehicle for coordination among project leadership and regional stakeholders to organize an effective, inclusive, diverse, and committed team that understands how to maximize and deploy all available resources and pilot new approaches to use-inspired research that prioritize regional R&D needs.","Advanced Manufacturing & Heavy Industry","Oktibbeha County, MS; Longview, MS; Sturgis, MS; Maben, MS; Starkville, MS; Mississippi State, MS"
999996,"Regional Innovation Engines","Applied Science and Technology Research Organization of America","NSF Engines Development Award: Advancing additive manufacturing technologies","SDG","Tallahassee, FL","This Regional Innovation Engines Development Award is focused on piloting the AM (Additive Manufacturing) Forward partnership announced in May 2022. This project coordinates support for small business suppliers adopting additive manufacturing (AM). AM Forward Florida will drive innovation, economic development, community investment, and job growth across Florida. AM Forward's sponsor companies include Boeing, GE Aviation, Honeywell Aerospace, Lockheed Martin, Northrop Grumman, Raytheon Technologies, and Siemens Energy. Each will play an important role in this project, informing requirements and future demand for production technology and materials. The project team will thus explore how best to expedite the qualification of suppliers for industrial production (including small manufacturer partners Sintavia, Keystone, and ACMT Aero). Also driving AM adoption will be a new generation of engineers and technicians - a workforce reflecting diverse experiences. Partners in this project include the nation's leading minority-serving institutions, including Florida International University, Florida A&M University and Florida State University College of Engineering, University of Central Florida, and the University of Florida, the state's flagship research university. Over 18 months of performance, the proposing team will hold six workshops - three participant workshops and three stakeholder workshops - across the state to discern the best orientation of Florida's manufacturing innovation ecosystem. The project will address current limitations in the state?s supplier base, with the fifth lowest concentration of manufacturing jobs in the U.S. To reverse this, the project will explore regionally-based AM, pursuing breakthroughs in material formulations, integrated advanced robotics, and composite manufacturing. A range of machine types, materials, and testing processes will be explored to ensure effective AM deployment into Florida supply chains near companies/end-users. Industrial additive manufacturing depends on data management, topology, and analytics for design optimization, build preparation and simulation, in situ monitoring, qualification, and testing. Data-driven qualification approaches based on probabilistic modeling and machine learning will underpin university research. These thrusts will focus on end-to-end solutions, efficient design, automated quality methodologies, ensure repeatability, and support scalability for large throughput. This NSF Engine Development Award will enable the team to develop a full NSF Engine proposal, making it much more informed, realistic, and attainable.","Advanced Manufacturing & Heavy Industry","Leon County, FL; Lloyd, FL; Midway, FL; Tallahassee, FL; Chaires, FL; Fort Braden, FL; Capitola, FL; Bradfordville, FL; Woodville, FL; Miccosukee, FL"
